Iso3,Country,Year,Happiness Rank,Happiness Score,GDP Contribution,Life Expectancy Contribution,Corruption Impact,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
ISL,Iceland,2023,3,7.525,1.881,0.718,0.182,8.99,7196.91,79960.1,,,98.22,108.91,76.52,High income,Europe & Central Asia,-21.8952,64.1353
ISL,Iceland,2024,3,7.515,1.799,0.873,0.173,,,82703.86,,,,,,High income,Europe & Central Asia,-21.8952,64.1353
ISR,Israel,2019,14,7.129,1.216,1.008,0.1,7.17,3335.25,44250.63,6.08,,96.27,96.3,55.94,High income,"Middle East, North Africa, Afghanistan & Pakistan",35.2035,31.7717
ISR,Israel,2020,12,7.157,1.376,0.788,0.119,7.7,3616.5,44575.57,6.5,,96.37,96.14,56.43,High income,"Middle East, North Africa, Afghanistan & Pakistan",35.2035,31.7717
ISR,Israel,2021,9,7.364,1.826,0.818,0.143,7.67,4190.61,52270.9,6.17,,96.25,96.93,58.99,High income,"Middle East, North Africa, Afghanistan & Pakistan",35.2035,31.7717
ISR,Israel,2022,4,7.473,1.833,0.577,0.158,7.34,4223.87,54949.62,5.93,,96.31,96.59,57.64,High income,"Middle East, North Africa, Afghanistan & Pakistan",35.2035,31.7717
ISR,Israel,2023,5,7.341,1.803,0.74,0.193,,,52003.72,,,96.49,96.47,55.84,High income,"Middle East, North Africa, Afghanistan & Pakistan",35.2035,31.7717
ISR,Israel,2024,8,7.234,1.695,0.824,0.193,,,54176.68,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",35.2035,31.7717
ITA,Italy,2019,30,6.387,1.236,1.023,0.04,8.66,2910.65,33812.79,4.08,99.35,102.96,101.74,65.69,High income,Europe & Central Asia,12.4823,41.8955
ITA,Italy,2020,28,6.483,1.393,0.798,0.047,9.62,3062.1,32091.49,4.42,,102.64,101.84,68.72,High income,Europe & Central Asia,12.4823,41.8955
ITA,Italy,2021,31,6.467,1.834,0.801,0.059,9.34,3399.86,36852.54,4.17,,101.09,101.83,71.27,High income,Europe & Central Asia,12.4823,41.8955
ITA,Italy,2022,33,6.405,1.832,0.559,0.063,9.03,3134.68,35653.9,4.07,,101.56,101.35,73.9,High income,Europe & Central Asia,12.4823,41.8955
ITA,Italy,2023,41,6.324,1.8,0.72,0.074,8.52,3228.44,39065.42,,,103.57,100.68,75.95,High income,Europe & Central Asia,12.4823,41.8955
ITA,Italy,2024,40,6.415,1.724,0.852,0.071,,,40226.05,,,,,,High income,Europe & Central Asia,12.4823,41.8955
JAM,Jamaica,2019,60,5.89,0.779,0.788,0.03,6.1,341.91,5607.24,5.16,,93.23,85.76,,Upper middle income,Latin America & Caribbean ,-76.792,17.9927
JAM,Jamaica,2020,37,6.309,0.891,0.599,0.035,6.63,323.3,4879.44,5.38,,90.95,81.53,,Upper middle income,Latin America & Caribbean ,-76.792,17.9927
JAM,Jamaica,2021,63,5.85,1.296,0.646,0.053,7.19,371.14,5165.34,5.63,,92.38,85.81,,Upper middle income,Latin America & Caribbean ,-76.792,17.9927
JAM,Jamaica,2022,68,5.703,1.305,0.411,0.039,7.78,468.35,6022.15,5.35,,93.27,82.86,,Upper middle income,Latin America & Caribbean ,-76.792,17.9927
JAM,Jamaica,2023,67,5.842,1.28,0.567,0.028,,,6839.73,5.65,,87.74,85.44,,Upper middle income,Latin America & Caribbean ,-76.792,17.9927
JAM,Jamaica,2024,72,5.87,1.182,0.504,0.019,,,7019.75,5.51,,,,,Upper middle income,Latin America & Caribbean ,-76.792,17.9927
JOR,Jordan,2019,119,4.633,0.785,0.778,0.152,7.07,294.93,4170.11,2.99,,98.86,89.51,30.11,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.9263,31.9497
JOR,Jordan,2020,127,4.395,0.89,0.583,0.15,7.12,286.2,4022.04,3.55,,98.96,90.2,30.29,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.9263,31.9497
JOR,Jordan,2021,134,4.152,1.324,0.675,0.2,7.2,301.29,4183.5,3.14,,98.0,90.06,30.45,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.9263,31.9497
JOR,Jordan,2022,123,4.12,1.292,0.438,0.173,6.83,295.14,4332.25,3.15,,98.54,90.99,32.51,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.9263,31.9497
JOR,Jordan,2023,125,4.186,1.262,0.594,0.189,,,4466.08,3.51,94.85,98.3,91.97,33.06,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.9263,31.9497
JOR,Jordan,2024,128,4.31,1.158,0.573,0.164,,,4618.1,,,98.55,91.75,35.92,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.9263,31.9497
JPN,Japan,2019,62,5.871,1.267,1.073,0.181,10.97,4431.3,40415.96,3.16,,102.65,102.67,62.12,High income,East Asia & Pacific,139.77,35.67
JPN,Japan,2020,56,5.94,1.389,0.838,0.192,11.21,4486.64,40028.73,3.31,,102.74,102.84,62.14,High income,East Asia & Pacific,139.77,35.67
JPN,Japan,2021,54,6.039,1.835,0.866,0.218,11.19,4482.62,40094.56,3.34,,102.22,102.16,63.17,High income,East Asia & Pacific,139.77,35.67
JPN,Japan,2022,47,6.129,1.825,0.622,0.207,11.42,3889.36,34065.64,,,102.16,102.34,64.63,High income,East Asia & Pacific,139.77,35.67
JPN,Japan,2023,51,6.06,1.786,0.785,0.219,,,33836.18,,,102.5,102.34,64.89,High income,East Asia & Pacific,139.77,35.67
JPN,Japan,2024,55,6.147,1.678,0.921,0.2,,,32475.89,,,,,,High income,East Asia & Pacific,139.77,35.67
KAZ,Kazakhstan,2019,50,6.058,1.123,0.699,0.11,2.79,263.61,9457.13,2.86,,99.06,96.54,57.34,Upper middle income,Europe & Central Asia,71.4382,51.1879
KAZ,Kazakhstan,2020,45,6.152,1.23,0.527,0.132,3.75,329.57,8781.51,4.45,,98.96,91.95,62.29,Upper middle income,Europe & Central Asia,71.4382,51.1879
KAZ,Kazakhstan,2021,40,6.234,1.668,0.611,0.157,3.92,391.82,9983.6,4.39,,98.27,94.31,59.38,Upper middle income,Europe & Central Asia,71.4382,51.1879
KAZ,Kazakhstan,2022,44,6.144,1.664,0.389,0.149,3.74,420.98,11255.34,4.36,,99.22,94.04,57.25,Upper middle income,Europe & Central Asia,71.4382,51.1879
KAZ,Kazakhstan,2023,48,6.188,1.622,0.556,0.12,,,12879.43,4.85,,98.98,95.24,54.66,Upper middle income,Europe & Central Asia,71.4382,51.1879
KAZ,Kazakhstan,2024,43,6.378,1.586,0.504,0.118,,,14005.35,,,97.54,97.2,53.46,Upper middle income,Europe & Central Asia,71.4382,51.1879
KEN,Kenya,2019,121,4.583,0.476,0.536,0.067,4.37,85.65,1960.41,5.37,,77.51,,10.5,Lower middle income,Sub-Saharan Africa ,36.8126,-1.27975
KEN,Kenya,2020,121,4.607,0.603,0.385,0.073,4.49,86.59,1927.66,5.05,,91.95,,,Lower middle income,Sub-Saharan Africa ,36.8126,-1.27975
KEN,Kenya,2021,119,4.543,1.032,0.401,0.082,4.57,94.11,2061.36,4.89,,93.77,80.38,,Lower middle income,Sub-Saharan Africa ,36.8126,-1.27975
KEN,Kenya,2022,111,4.487,1.051,0.19,0.055,4.33,90.44,2109.56,4.51,,98.55,83.77,,Lower middle income,Sub-Saharan Africa ,36.8126,-1.27975
KEN,Kenya,2023,114,4.47,1.037,0.353,0.069,,,1952.3,3.96,,98.25,84.31,8.68,Lower middle income,Sub-Saharan Africa ,36.8126,-1.27975
KEN,Kenya,2024,115,4.51,0.994,0.448,0.073,,,2206.13,4.02,,,,10.42,Lower middle income,Sub-Saharan Africa ,36.8126,-1.27975
KHM,Cambodia,2019,106,4.848,0.545,0.588,0.073,5.06,112.59,2225.88,2.13,87.66,100.48,49.73,12.94,Lower middle income,East Asia & Pacific,104.874,11.5556
KHM,Cambodia,2020,114,4.83,0.603,0.426,0.061,5.28,110.01,2081.74,2.25,82.6,107.02,51.82,13.88,Lower middle income,East Asia & Pacific,104.874,11.5556
KHM,Cambodia,2021,114,4.64,1.019,0.505,0.068,5.52,119.64,2167.4,1.96,71.93,105.28,54.28,13.5,Lower middle income,East Asia & Pacific,104.874,11.5556
KHM,Cambodia,2022,115,4.393,1.025,0.283,0.051,4.71,109.53,2325.03,1.96,,106.33,55.13,14.61,Lower middle income,East Asia & Pacific,104.874,11.5556
KHM,Cambodia,2023,119,4.341,1.011,0.442,0.071,,,2429.75,2.18,,107.04,56.79,17.44,Lower middle income,East Asia & Pacific,104.874,11.5556
KHM,Cambodia,2024,124,4.341,1.049,0.481,0.078,,,2627.88,,,108.97,58.79,21.44,Lower middle income,East Asia & Pacific,104.874,11.5556
KWT,Kuwait,2019,48,6.102,1.425,0.776,0.113,5.26,1643.16,31707.87,6.73,,83.06,,50.44,High income,"Middle East, North Africa, Afghanistan & Pakistan",47.9824,29.3721
KWT,Kuwait,2020,47,6.106,1.461,0.58,0.13,6.23,1523.43,25236.08,6.25,96.46,81.39,,53.73,High income,"Middle East, North Africa, Afghanistan & Pakistan",47.9824,29.3721
KWT,Kuwait,2021,50,6.106,1.904,0.747,0.147,5.5,1788.78,34018.63,7.76,,82.36,,51.9,High income,"Middle East, North Africa, Afghanistan & Pakistan",47.9824,29.3721
KWT,Kuwait,2023,13,6.951,1.845,0.661,0.172,,,34075.85,5.03,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",47.9824,29.3721
KWT,Kuwait,2024,30,6.629,1.691,0.766,0.167,,,32213.86,6.44,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",47.9824,29.3721
LAO,Lao PDR,2019,104,4.889,0.715,0.486,0.194,2.6,67.58,2589.32,2.12,,101.98,64.99,13.74,Lower middle income,East Asia & Pacific,102.177,18.5826
LAO,Lao PDR,2020,100,5.03,0.808,0.33,0.179,2.06,51.97,2583.78,1.92,,100.28,62.45,12.56,Lower middle income,East Asia & Pacific,102.177,18.5826
LAO,Lao PDR,2021,95,5.14,1.239,0.479,0.184,2.74,68.62,2526.05,1.86,,99.11,59.85,12.44,Lower middle income,East Asia & Pacific,102.177,18.5826
LAO,Lao PDR,2022,89,5.111,1.232,0.257,0.162,2.02,41.35,2046.4,1.46,,95.7,56.88,13.68,Lower middle income,East Asia & Pacific,102.177,18.5826
LAO,Lao PDR,2023,94,5.139,1.208,0.423,0.167,,,2066.95,1.23,75.64,95.04,54.43,14.88,Lower middle income,East Asia & Pacific,102.177,18.5826
LAO,Lao PDR,2024,93,5.301,1.122,0.493,0.164,,,2123.98,,,93.85,51.85,,Lower middle income,East Asia & Pacific,102.177,18.5826
LBN,Lebanon,2019,111,4.772,0.889,0.789,0.022,8.69,779.61,8905.88,2.52,92.01,77.09,65.28,50.15,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.5134,33.8872
LBN,Lebanon,2020,123,4.584,1.045,0.595,0.026,7.58,518.3,5561.19,2.44,,76.1,65.9,51.57,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.5134,33.8872
LBN,Lebanon,2021,145,2.955,1.392,0.631,0.034,4.86,311.84,4045.37,,,74.73,67.51,56.87,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.5134,33.8872
LBN,Lebanon,2022,136,2.392,1.417,0.398,0.027,5.74,392.38,3654.36,1.33,,76.45,64.5,58.18,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.5134,33.8872
LBN,Lebanon,2023,142,2.707,1.377,0.556,0.029,,,3477.72,1.5,,78.2,62.83,54.4,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.5134,33.8872
LBN,Lebanon,2024,145,3.188,1.223,0.44,0.041,,,,1.22,,81.77,63.79,,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.5134,33.8872
LBR,Liberia,2019,124,4.558,0.174,0.392,0.051,8.38,51.19,658.16,2.17,,,,,Low income,Sub-Saharan Africa ,-10.7957,6.30039
LBR,Liberia,2020,120,4.625,0.228,0.253,0.057,12.91,76.11,616.79,2.14,,72.42,37.74,,Low income,Sub-Saharan Africa ,-10.7957,6.30039
LBR,Liberia,2021,96,5.122,0.636,0.309,0.08,13.84,92.33,667.97,2.42,,67.46,,,Low income,Sub-Saharan Africa ,-10.7957,6.30039
LBR,Liberia,2022,125,4.042,0.628,0.141,0.071,13.47,99.65,744.62,2.28,,66.59,,,Low income,Sub-Saharan Africa ,-10.7957,6.30039
LBR,Liberia,2023,121,4.269,0.619,0.301,0.075,,,799.19,2.27,,,,,Low income,Sub-Saharan Africa ,-10.7957,6.30039
LBR,Liberia,2024,129,4.277,0.582,0.324,0.068,,,846.28,,,,,,Low income,Sub-Saharan Africa ,-10.7957,6.30039
LBY,Libya,2019,80,5.489,1.022,0.616,0.172,5.55,552.73,9963.19,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",13.1072,32.8578
LBY,Libya,2020,80,5.41,1.044,0.435,0.174,7.11,472.62,6650.34,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",13.1072,32.8578
LBY,Libya,2021,86,5.33,1.476,0.606,0.179,6.21,306.7,4935.83,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",13.1072,32.8578
LBY,Libya,2023,66,5.866,1.526,0.55,0.204,,,6172.81,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",13.1072,32.8578
LBY,Libya,2024,79,5.82,1.247,0.549,0.214,,,6318.4,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",13.1072,32.8578
LKA,Sri Lanka,2019,130,4.327,0.898,0.792,0.049,3.9,154.87,4081.95,,92.25,95.47,,19.46,Lower middle income,South Asia,79.8528,6.92148
LKA,Sri Lanka,2020,129,4.325,0.99,0.593,0.049,4.06,152.0,3847.6,1.56,92.38,95.23,,20.16,Lower middle income,South Asia,79.8528,6.92148
LKA,Sri Lanka,2021,127,4.362,1.415,0.66,0.079,4.03,157.13,3996.96,1.51,92.43,94.46,89.83,20.78,Lower middle income,South Asia,79.8528,6.92148
LKA,Sri Lanka,2022,112,4.442,1.422,0.426,0.086,4.36,145.56,3342.64,1.2,92.49,92.98,88.19,22.37,Lower middle income,South Asia,79.8528,6.92148
LKA,Sri Lanka,2023,128,3.898,1.361,0.586,0.031,,,3798.89,1.83,92.66,91.45,87.95,20.74,Lower middle income,South Asia,79.8528,6.92148
LKA,Sri Lanka,2024,133,3.891,1.271,0.567,0.025,,,4515.57,,,,,,Lower middle income,South Asia,79.8528,6.92148
LSO,Lesotho,2019,143,3.653,0.455,0.101,0.05,21.97,236.44,1082.06,,92.5,91.28,,,Lower middle income,Sub-Saharan Africa ,27.7167,-29.5208
LSO,Lesotho,2020,145,3.512,0.451,0.007,0.015,10.46,97.32,918.58,,,87.74,,,Lower middle income,Sub-Saharan Africa ,27.7167,-29.5208
LSO,Lesotho,2021,141,3.512,0.839,0.0,0.018,10.81,116.6,1066.59,,,85.04,,,Lower middle income,Sub-Saharan Africa ,27.7167,-29.5208
LSO,Lesotho,2023,141,3.186,0.771,0.0,0.085,,,916.28,7.29,,81.64,,,Lower middle income,Sub-Saharan Africa ,27.7167,-29.5208
LSO,Lesotho,2024,138,3.757,0.737,0.0,0.072,,,971.81,6.62,90.45,80.18,,,Lower middle income,Sub-Saharan Africa ,27.7167,-29.5208
LTU,Lithuania,2019,41,6.215,1.194,0.795,0.081,6.98,1369.98,19608.79,3.94,,104.71,103.88,70.18,High income,Europe & Central Asia,25.2799,54.6896
LTU,Lithuania,2020,38,6.255,1.35,0.612,0.073,7.47,1520.39,20428.65,4.47,,103.47,105.99,69.15,High income,Europe & Central Asia,25.2799,54.6896
LTU,Lithuania,2021,34,6.446,1.804,0.659,0.077,7.76,1854.28,23870.46,4.24,,101.15,108.51,70.66,High income,Europe & Central Asia,25.2799,54.6896
LTU,Lithuania,2022,20,6.763,1.808,0.432,0.089,7.24,1829.66,25085.78,4.25,,101.91,106.92,76.92,High income,Europe & Central Asia,25.2799,54.6896
LTU,Lithuania,2023,19,6.818,1.766,0.598,0.116,7.29,1988.95,27786.01,,,102.68,105.43,77.01,High income,Europe & Central Asia,25.2799,54.6896
LTU,Lithuania,2024,16,6.829,1.684,0.592,0.123,,,29386.29,,,,,,High income,Europe & Central Asia,25.2799,54.6896
LUX,Luxembourg,2019,10,7.238,1.537,0.986,0.367,5.46,6221.74,112696.65,3.74,,98.33,106.95,19.4,High income,Europe & Central Asia,6.1296,49.61
LUX,Luxembourg,2020,8,7.324,1.751,0.76,0.353,5.76,6785.86,116860.03,3.85,,98.64,107.08,19.96,High income,Europe & Central Asia,6.1296,49.61
LUX,Luxembourg,2021,6,7.404,2.209,0.79,0.388,5.66,7632.57,134965.82,3.72,,98.48,106.48,20.73,High income,Europe & Central Asia,6.1296,49.61
LUX,Luxembourg,2022,9,7.228,2.2,0.549,0.418,5.55,7022.63,123719.66,3.71,,99.48,107.84,21.03,High income,Europe & Central Asia,6.1296,49.61
LUX,Luxembourg,2023,8,7.122,2.141,0.708,0.432,5.78,7504.58,131407.68,,,99.06,107.74,21.54,High income,Europe & Central Asia,6.1296,49.61
LUX,Luxembourg,2024,9,7.122,2.028,0.864,0.397,,,137516.59,,,,,,High income,Europe & Central Asia,6.1296,49.61
LVA,Latvia,2019,57,5.95,1.141,0.778,0.09,6.64,1183.12,17294.98,4.59,,99.98,107.6,94.86,High income,Europe & Central Asia,24.1048,56.9465
LVA,Latvia,2020,51,6.032,1.285,0.587,0.089,7.29,1313.35,17564.23,5.0,,99.83,105.96,94.51,High income,Europe & Central Asia,24.1048,56.9465
LVA,Latvia,2021,42,6.18,1.732,0.637,0.09,9.11,1897.95,20261.89,4.77,,99.74,105.81,93.48,High income,Europe & Central Asia,24.1048,56.9465
LVA,Latvia,2022,41,6.213,1.737,0.405,0.071,7.62,1642.47,20227.23,4.32,,99.42,104.76,91.33,High income,Europe & Central Asia,24.1048,56.9465
LVA,Latvia,2023,46,6.234,1.7,0.564,0.078,,,22675.58,,,98.47,102.13,85.74,High income,Europe & Central Asia,24.1048,56.9465
LVA,Latvia,2024,51,6.207,1.619,0.503,0.082,,,23367.6,,,,,,High income,Europe & Central Asia,24.1048,56.9465
MAR,Morocco,2019,97,5.095,0.759,0.745,0.077,5.0,177.85,3508.1,5.0,,110.07,79.34,37.72,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",-6.8704,33.9905
MAR,Morocco,2020,106,4.918,0.792,0.558,0.088,5.59,185.45,3268.03,6.28,,112.35,80.31,39.69,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",-6.8704,33.9905
MAR,Morocco,2021,100,5.06,1.208,0.565,0.102,5.52,211.94,3785.94,5.64,,112.94,80.74,42.53,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",-6.8704,33.9905
MAR,Morocco,2022,100,4.903,1.236,0.337,0.085,5.68,199.21,3455.4,5.91,,116.55,84.46,45.94,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",-6.8704,33.9905
MAR,Morocco,2023,107,4.795,1.213,0.495,0.082,,,3771.45,6.02,,117.6,87.73,47.47,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",-6.8704,33.9905
MAR,Morocco,2024,112,4.622,1.139,0.585,0.095,,,3993.39,,,116.59,89.98,48.18,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",-6.8704,33.9905
MDA,Moldova,2019,70,5.608,0.708,0.713,0.014,6.5,284.3,4405.33,6.23,,105.07,95.65,54.78,Upper middle income,Europe & Central Asia,28.8497,47.0167
MDA,Moldova,2020,65,5.766,0.985,0.542,0.013,7.0,306.65,4375.78,6.6,,106.52,96.17,56.25,Upper middle income,Europe & Central Asia,28.8497,47.0167
MDA,Moldova,2021,62,5.857,1.417,0.597,0.028,7.75,410.12,5274.61,5.82,,106.78,96.59,61.3,Upper middle income,Europe & Central Asia,28.8497,47.0167
MDA,Moldova,2022,63,5.819,1.425,0.375,0.02,6.97,398.15,5744.3,6.11,,106.97,97.61,68.06,Upper middle income,Europe & Central Asia,28.8497,47.0167
MDA,Moldova,2023,70,5.816,1.385,0.542,0.044,,,6799.59,6.63,,106.67,97.89,71.17,Upper middle income,Europe & Central Asia,28.8497,47.0167
MDA,Moldova,2024,80,5.819,1.332,0.414,0.037,,,7617.52,,,107.61,99.34,74.71,Upper middle income,Europe & Central Asia,28.8497,47.0167
MDG,Madagascar,2019,137,4.166,0.245,0.501,0.076,3.1,15.5,499.82,3.01,,124.95,32.82,5.29,Low income,Sub-Saharan Africa ,45.7167,-20.4667
MDG,Madagascar,2020,135,4.208,0.266,0.341,0.087,3.72,16.78,450.77,3.25,,126.59,,5.17,Low income,Sub-Saharan Africa ,45.7167,-20.4667
MDG,Madagascar,2021,128,4.339,0.67,0.378,0.154,3.5,17.18,483.47,3.2,74.69,140.27,34.13,5.31,Low income,Sub-Saharan Africa ,45.7167,-20.4667
MDG,Madagascar,2022,127,4.019,0.632,0.178,0.134,3.25,16.32,503.51,3.07,,132.89,,5.88,Low income,Sub-Saharan Africa ,45.7167,-20.4667
MDG,Madagascar,2023,123,4.228,0.628,0.333,0.123,,,508.72,3.05,,130.6,,6.15,Low income,Sub-Saharan Africa ,45.7167,-20.4667
MDG,Madagascar,2024,130,4.157,0.588,0.341,0.118,,,545.0,,,132.74,,,Low income,Sub-Saharan Africa ,45.7167,-20.4667
MDV,Maldives,2019,87,5.198,0.938,0.914,0.072,7.66,880.8,11740.27,4.12,98.21,96.86,72.69,24.65,Upper middle income,South Asia,73.5109,4.1742
MDV,Maldives,2020,89,5.198,1.115,0.697,0.073,11.34,845.82,7393.89,5.85,,97.18,69.9,27.08,Upper middle income,South Asia,73.5109,4.1742
MEX,Mexico,2019,24,6.465,1.024,0.832,0.083,5.3,549.73,10369.56,,95.39,105.1,105.52,43.04,Upper middle income,Latin America & Caribbean ,-99.1276,19.427
MEX,Mexico,2020,36,6.317,1.126,0.634,0.089,6.05,535.12,8841.27,4.5,95.25,104.52,102.58,45.17,Upper middle income,Latin America & Caribbean ,-99.1276,19.427
MEX,Mexico,2021,46,6.128,1.552,0.623,0.115,5.89,606.13,10314.05,4.24,95.69,103.36,98.32,45.65,Upper middle income,Latin America & Caribbean ,-99.1276,19.427
MEX,Mexico,2022,36,6.33,1.55,0.389,0.115,5.72,650.97,11402.14,4.07,95.85,102.0,98.36,46.41,Upper middle income,Latin America & Caribbean ,-99.1276,19.427
MEX,Mexico,2023,25,6.678,1.521,0.544,0.127,,,13826.13,,95.83,101.42,102.06,47.47,Upper middle income,Latin America & Caribbean ,-99.1276,19.427
MEX,Mexico,2024,10,6.979,1.435,0.55,0.118,,,14157.94,,95.77,,,,Upper middle income,Latin America & Caribbean ,-99.1276,19.427
MKD,North Macedonia,2019,90,5.16,0.935,0.803,0.025,7.07,469.47,6718.86,,,93.65,82.53,43.2,Upper middle income,Europe & Central Asia,21.4361,42.0024
MKD,North Macedonia,2020,94,5.101,1.068,0.535,0.022,7.73,510.81,6659.6,,,93.44,82.44,43.78,Upper middle income,Europe & Central Asia,21.4361,42.0024
MKD,North Macedonia,2021,89,5.199,1.505,0.637,0.031,8.52,636.65,7620.8,,,93.26,84.16,44.3,Upper middle income,Europe & Central Asia,21.4361,42.0024
MKD,North Macedonia,2022,87,5.254,1.498,0.408,0.02,7.62,561.69,7606.24,,,97.49,91.45,53.16,Upper middle income,Europe & Central Asia,21.4361,42.0024
MKD,North Macedonia,2023,84,5.369,1.475,0.569,0.015,,,8624.28,,,96.31,90.07,55.01,Upper middle income,Europe & Central Asia,21.4361,42.0024
MKD,North Macedonia,2024,86,5.503,1.458,0.544,0.007,,,9310.03,,,,,,Upper middle income,Europe & Central Asia,21.4361,42.0024
MLI,Mali,2019,114,4.729,0.352,0.235,0.062,3.83,31.41,971.95,3.56,,,,,Low income,Sub-Saharan Africa ,-7.50034,13.5667
MLI,Mali,2020,117,4.723,0.387,0.11,0.072,3.48,28.2,953.24,3.95,,,,,Low income,Sub-Saharan Africa ,-7.50034,13.5667
MLI,Mali,2021,123,4.479,0.792,0.311,0.042,3.47,30.62,1027.27,4.36,,,,,Low income,Sub-Saharan Africa ,-7.50034,13.5667
MLI,Mali,2022,120,4.198,0.763,0.106,0.059,3.67,29.74,969.72,4.05,,,,,Low income,Sub-Saharan Africa ,-7.50034,13.5667
MLI,Mali,2023,122,4.232,0.747,0.267,0.09,,,1035.86,4.18,,72.8,38.94,,Low income,Sub-Saharan Africa ,-7.50034,13.5667
MLI,Mali,2024,123,4.345,0.709,0.318,0.114,,,1086.18,,,,,,Low income,Sub-Saharan Africa ,-7.50034,13.5667
MLT,Malta,2019,22,6.773,1.253,0.972,0.179,9.08,2943.63,32421.92,4.8,,98.17,104.51,58.54,High income,"Middle East, North Africa, Afghanistan & Pakistan",14.5189,35.9042
MLT,Malta,2020,23,6.602,1.411,0.747,0.183,10.6,3135.41,31833.6,,,96.8,102.92,62.88,High income,"Middle East, North Africa, Afghanistan & Pakistan",14.5189,35.9042
MLT,Malta,2021,33,6.447,1.838,0.789,0.166,10.36,3641.62,38065.35,4.93,,95.41,103.09,73.02,High income,"Middle East, North Africa, Afghanistan & Pakistan",14.5189,35.9042
MLT,Malta,2022,37,6.3,1.841,0.547,0.143,9.52,3352.77,36224.28,4.72,,93.53,102.7,78.62,High income,"Middle East, North Africa, Afghanistan & Pakistan",14.5189,35.9042
MLT,Malta,2023,40,6.346,1.827,0.707,0.125,,,40182.43,,,97.71,103.03,80.53,High income,"Middle East, North Africa, Afghanistan & Pakistan",14.5189,35.9042
MLT,Malta,2024,48,6.316,1.76,0.837,0.115,,,42347.31,,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",14.5189,35.9042
MMR,Myanmar,2019,133,4.308,0.678,0.495,0.188,4.08,53.72,1425.99,2.0,89.07,,,,Lower middle income,East Asia & Pacific,95.9562,21.914
MMR,Myanmar,2020,126,4.426,0.666,0.341,0.178,4.39,66.02,1490.22,,93.55,,,,Lower middle income,East Asia & Pacific,95.9562,21.914
MMR,Myanmar,2021,126,4.394,1.038,0.491,0.194,5.84,71.15,1242.72,,,,,,Lower middle income,East Asia & Pacific,95.9562,21.914
MMR,Myanmar,2022,117,4.372,1.032,0.269,0.194,5.2,57.97,1158.05,,,,,,Lower middle income,East Asia & Pacific,95.9562,21.914
MMR,Myanmar,2023,118,4.354,0.978,0.436,0.174,,,1233.2,,,,,,Lower middle income,East Asia & Pacific,95.9562,21.914
MMR,Myanmar,2024,126,4.321,0.975,0.446,0.163,,,1359.26,,,,,,Lower middle income,East Asia & Pacific,95.9562,21.914
MNE,Montenegro,2019,72,5.546,1.01,0.839,0.098,8.33,754.77,8842.49,,,103.65,91.84,56.26,Upper middle income,Europe & Central Asia,19.2595,42.4602
MNE,Montenegro,2020,72,5.581,1.155,0.637,0.081,11.42,896.25,7612.63,,,103.85,92.36,58.09,Upper middle income,Europe & Central Asia,19.2595,42.4602
MNE,Montenegro,2021,75,5.547,1.573,0.659,0.077,10.55,1024.26,9377.49,,,104.4,93.16,57.96,Upper middle income,Europe & Central Asia,19.2595,42.4602
MNE,Montenegro,2022,67,5.722,1.537,0.424,0.061,10.92,1107.06,9990.2,,,105.62,92.16,57.43,Upper middle income,Europe & Central Asia,19.2595,42.4602
MNE,Montenegro,2023,76,5.707,1.571,0.587,0.132,,,12077.37,,,106.11,93.87,55.17,Upper middle income,Europe & Central Asia,19.2595,42.4602
MNE,Montenegro,2024,71,5.877,1.507,0.618,0.138,,,12935.45,,,,,,Upper middle income,Europe & Central Asia,19.2595,42.4602
